order_id,order_placement_time,time_of_day,is_weekend,restaurant_type,is_specialty_item,order_volume_items,dine_in_traffic_volume,other_app_traffic_volume,initial_zomato_predicted_kpt_mins,actual_prep_time_ground_truth_mins,rider_arrival_time_mins,merchant_marked_for_time_mins,dispatch_time_mins,delivery_time_mins,restaurant_closed_after_arrival,rider_wait_time_at_pickup_mins,eta_prediction_error_mins,cancellation_flag
ORD_000000,2024-02-07 14:20:00,Day/Lunch,0,Cloud Kitchen,0,6,0,20,26.6,30.0,35.2,32.9,35.2,52.24230744657822,0,0.0,3.3999999999999986,0
ORD_000001,2024-02-15 18:50:00,Night/Dinner,0,Cloud Kitchen,1,7,0,32,27.3,29.2,28.8,30.0,29.2,49.2,0,0.3999999999999986,1.8999999999999986,0
ORD_000002,2024-02-08 17:24:00,Night/Dinner,0,Quick Service/Kiosk,0,3,2,3,12.6,13.5,13.2,15.2,13.5,31.5,0,0.3000000000000007,0.9000000000000004,0
ORD_000003,2024-02-07 02:01:00,Late Night,0,Cloud Kitchen,0,4,0,28,17.6,24.4,26.6,27.8,26.6,38.643621836394814,0,0.0,6.799999999999997,0
ORD_000004,2024-02-19 20:38:00,Night/Dinner,0,Dine-in Restaurant,1,6,52,22,27.1,39.0,36.8,39.6,39.0,52.0,0,2.200000000000003,11.899999999999999,0
ORD_000005,2024-02-11 01:27:00,Late Night,1,Cloud Kitchen,1,7,0,33,24.9,29.5,20.3,31.8,29.5,53.5,0,9.2,4.600000000000001,0
ORD_000006,2024-02-21 18:43:00,Night/Dinner,0,Cloud Kitchen,0,6,0,10,23.6,27.0,22.5,27.4,27.0,49.0,0,4.5,3.3999999999999986,0
ORD_000007,2024-02-08 02:10:00,Late Night,0,Dine-in Restaurant,0,5,17,11,17.0,28.4,14.4,29.7,28.4,48.4,0,13.999999999999998,11.399999999999999,0
ORD_000008,2024-02-22 22:12:00,Late Night,0,Cloud Kitchen,1,2,0,24,8.9,12.8,14.1,15.0,14.1,29.138542556928897,0,0.0,3.9000000000000004,0
ORD_000009,2024-02-02 05:43:00,Late Night,0,Quick Service/Kiosk,0,7,6,1,25.1,30.1,23.3,31.7,30.1,53.1,0,6.800000000000001,5.0,0
ORD_000010,2024-02-12 23:57:00,Late Night,0,Dine-in Restaurant,0,5,18,9,20.0,28.1,24.5,30.7,28.1,52.1,0,3.6000000000000014,8.100000000000001,0
ORD_000011,2024-02-06 06:25:00,Morning,0,Cloud Kitchen,0,9,0,28,36.2,44.4,42.3,47.1,44.4,66.4,0,2.1000000000000014,8.199999999999996,0
ORD_000012,2024-02-28 04:36:00,Late Night,0,Quick Service/Kiosk,0,4,8,1,14.4,18.7,25.7,20.3,25.7,37.72599540320117,0,0.0,4.299999999999999,0
ORD_000013,2024-02-01 07:39:00,Morning,0,Cloud Kitchen,0,2,0,24,10.0,15.2,6.5,15.9,15.2,40.2,0,8.7,5.199999999999999,0
ORD_000014,2024-02-26 00:21:00,Late Night,0,Cloud Kitchen,0,7,0,35,28.5,38.5,36.3,39.7,38.5,55.5,0,2.200000000000003,10.0,0
ORD_000015,2024-02-29 12:27:00,Day/Lunch,0,Dine-in Restaurant,0,7,13,13,28.1,35.8,28.9,37.9,35.8,49.8,0,6.899999999999999,7.699999999999996,0
ORD_000016,2024-02-25 07:54:00,Morning,1,Dine-in Restaurant,1,1,37,10,2.6,16.9,14.2,17.8,16.9,30.9,0,2.6999999999999993,14.299999999999999,0
ORD_000017,2024-02-27 08:30:00,Morning,0,Cloud Kitchen,0,5,0,23,19.6,26.9,26.9,27.4,26.9,54.9,0,0.0,7.299999999999997,0
ORD_000018,2024-02-10 11:39:00,Day/Lunch,1,Cloud Kitchen,0,3,0,16,10.2,16.8,16.9,17.6,16.9,45.94136555284787,0,0.0,6.600000000000001,0
ORD_000019,2024-02-16 03:09:00,Late Night,0,Quick Service/Kiosk,0,9,4,4,35.4,38.4,33.6,38.8,38.4,50.4,0,4.799999999999997,3.0,0
ORD_000020,2024-03-01 11:26:00,Day/Lunch,0,Dine-in Restaurant,1,9,18,5,36.0,32.1,37.0,38.0,37.0,58.04581120928273,0,0.0,3.8999999999999986,0
